"Year","State","Variable","Sex","Occupation","Estimate"
"2010","District of Columbia","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",4817
"2010","District of Columbia","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",1637
"2010","District of Columbia","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",3103
"2010","District of Columbia","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",77
"2010","Florida","B24020_019","Male","Computer, engineering, and science occupations:",196116
"2010","Florida","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",96776
"2010","Florida","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",93410
"2010","Florida","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",12745
"2010","Florida","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",42504
"2010","Florida","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",13382
"2010","Florida","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",24779
"2010","Florida","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",3366
"2010","Florida","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",80120
"2010","Florida","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",4669
"2010","Florida","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",53831
"2010","Florida","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",21620
